,High,Low,Open,Close,Volume,Adj Close,Date,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents
10,111.5199966430664,109.55999755859375,111.29000091552734,110.20999908447266,44462400.0,101.84662628173828,2015-10-14,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
11,112.0999984741211,110.48999786376953,110.93000030517578,111.86000061035156,37673500.0,103.37141418457031,2015-10-15,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
12,112.0,110.52999877929688,111.77999877929688,111.04000091552734,39232600.0,102.61363220214844,2015-10-16,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
13,111.75,110.11000061035156,110.80000305175781,111.7300033569336,29759200.0,103.25128173828125,2015-10-19,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
14,114.16999816894531,110.81999969482422,111.33999633789062,113.7699966430664,48967800.0,105.13646697998047,2015-10-20,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
15,115.58000183105469,113.69999694824219,114.0,113.76000213623047,41795200.0,105.12723541259766,2015-10-21,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
16,115.5,114.0999984741211,114.33000183105469,115.5,41654100.0,106.73519134521484,2015-10-22,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
17,119.2300033569336,116.33000183105469,116.69999694824219,119.08000183105469,59366900.0,110.04351043701172,2015-10-23,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
18,118.12999725341797,114.91999816894531,118.08000183105469,115.27999877929688,66333800.0,106.53187561035156,2015-10-26,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
19,116.54000091552734,113.98999786376953,115.4000015258789,114.55000305175781,69884400.0,105.8572769165039,2015-10-27,5.1501,0.5925,3.0953,2.0548,1.5062,1.1124,0.222,1.5062,0.3705,0.0439,1.4623,0.0238,0.3938,0.0895,1.1124,1.1124,29.0479,0.9539,17.1124,11.9355,0.894,2.7416,9.1939,1.2989,17.863,2.112,8.061,1.0999,-0.0345,2.2471,8.9378,16.4065,11.0346,2.0481,3.5889,5.3463,0.2349,6.0671,2.7416,9.2284,0.5556,20.1101,5.3463,3.3427,9.0514,29.0479,4.1601,0.5793,0.2556,1.2963,-0.1375,-0.0313,0.9801,-0.6299,-0.0102,1.1124,0.5801,1.3475,-0.62,0.3119,-0.2964,-1.3034,-0.0307,0.0417,-0.0523,0.3618,-0.6701,0.5801
